TAX,ADC,TS
28,11387,1716262684.6112039089
11 28,10271 11754,1716262684.6542999744
11 28,9762 11579,1716262684.6973130703
11 28,9477 11207,1716262684.7401633263
11 28,9355 11089,1716262684.7832732201
11 19 28,9660 10226 11188,1716262684.8262436390
11 19 20 28,9463 10189 15652 11313,1716262684.8693335056
11 19 20 28 29,9253 10174 15461 11242 11706,1716262684.9122245312
11 19 20 21 27 28 29,9267 10231 15620 14058 14168 11343 11538,1716262684.9553909302
11 19 20 21 27 28 29,9153 10110 15776 11926 12965 11164 11395,1716262684.9983255863
11 19 20 21 27 28 29,8981  9720 15054 11253 12589 11026 11024,1716262685.0412981510
11 19 20 21 27 28 29,8781  7696 14853 10987 12357 10911 10724,1716262685.0842590332
10 11 19 20 21 27 28 29 44,14704  8793  6883 14167 10749 12385 10714 10469 14141,1716262685.1272819042
10 11 19 20 21 27 28 29 44,12600  8776  6147 13797 10647 12306 10935 10493 12927,1716262685.1703338623
10 11 19 20 21 26 27 28 29 44,12158  8738  5705 12515 10425 14847 12702 10767 10565 12887,1716262685.2133443356
10 11 19 20 21 26 27 28 29 44,11370  7217  5458 12149 10298 10124 12889 10732 10525 12543,1716262685.2562553883
10 11 18 19 20 21 26 27 28 29 44,10772  6691 11114  5183 11814 10414  9953 12803 10388  9887 12518,1716262685.2993180752
10 11 18 19 20 21 23 26 27 28 29 44,7922  4124 10290  4353 10159  9878 13824  8618 11601  6625  7478 13631,1716262687.7501406670
10 11 18 19 20 21 26 27 28 29,8177  4941 10584  4482 10479  9844  9151 11655  8116  7557,1716262687.7931172848
10 11 18 19 20 21 27 28 29,9089  5868 10771  4489 10758 10009 11841 10342  8479,1716262687.8360350132
10 11 18 19 20 21 27 28 29,9002  6016 11849  4606 10796 10119 11952 10305  9070,1716262687.8791306019
10 11 19 20 21 27 28 29,10147  8582  5163 11506 10414 12212 10302 10741,1716262687.9221222401
10 11 19 20 21 27 28 29,10927  8611  5987 12205 10843 12824 10520 10911,1716262687.9650883675
10 11 19 20 21 27 28 29,14754  8632  9754 14088 11044 13013 10749 11285,1716262688.0081260204
11 19 20 21 27 28 29,9005 10165 14589 11380 13244 11014 11853,1716262688.0511207581
11 19 20 21 28,9050 10057 14884 11317 10981,1716262688.0941150188
11 19 28,9277 10186 11125,1716262688.1372122765
11 19 28,9630 10395 11546,1716262688.1802504063
11 19 28,10242 10777 12021,1716262688.2232210636
28,11584,1716262688.2662453651
28,11654,1716262688.3093359470
