TAX,ADC,TS
28,12216,1716271788.9489586353
28,12325,1716271788.9922590256
28,12751,1716271789.0357930660
28,12681,1716271789.0787672997
28,13272,1716271789.1217465401
28,12626,1716271789.1646413803
28,12371,1716271789.2077298164
28,12238,1716271789.2506833076
28,12043,1716271789.2937664986
28,11611,1716271789.3366041183
28,11309,1716271789.3798086643
28,11055,1716271789.4226572514
28,11059,1716271789.4657976627
28,10985,1716271789.5085110664
28,10979,1716271789.5516774654
28,11005,1716271789.5946824551
28,11006,1716271789.6376664639
28,10949,1716271789.6806204319
28,10959,1716271789.7237396240
28,10955,1716271789.7665867805
28,10983,1716271789.8097748756
28,11090,1716271789.8527736664
28,11041,1716271789.8958451748
28,11018,1716271789.9387209415
28,10963,1716271789.9818220139
28,11015,1716271790.0247511864
28,11058,1716271790.0677866936
28,10960,1716271790.1106672287
28,10968,1716271790.1537811756
28,11021,1716271790.1967685223
28,10997,1716271790.2397780418
28,10988,1716271790.2827680111
28,10986,1716271790.3257839680
28,10983,1716271790.3688645363
28,10974,1716271790.4117600918
28,11050,1716271790.4547719955
28,10998,1716271790.4978718758
28,10985,1716271790.5408444405
28,11007,1716271790.5837178230
28,10986,1716271790.6267640591
28,11007,1716271790.6698079109
28,10993,1716271790.7128360271
28,11007,1716271790.7558383942
28,11092,1716271790.7986857891
28,11084,1716271790.8417680264
28,10995,1716271790.8849046230
28,10982,1716271790.9278247356
28,11036,1716271790.9708476067
28,10963,1716271791.0138411522
28,11038,1716271791.0568552017
28,10988,1716271791.0998659134
28,10985,1716271791.1428961754
28,11098,1716271791.1858594418
28,11207,1716271791.2288887501
28,11150,1716271791.2718734741
28,11145,1716271791.3148632050
28,11180,1716271791.3578507900
28,11168,1716271791.4008631706
28,11254,1716271791.4438335896
28,11181,1716271791.4868988991
28,11197,1716271791.5298540592
28,11206,1716271791.5725047588
28,11211,1716271791.6158893108
28,11199,1716271791.6588933468
28,11253,1716271791.7017784119
28,11309,1716271791.7448463440
28,11207,1716271791.7878613472
28,11227,1716271791.8306708336
28,11207,1716271791.8738539219
28,11195,1716271791.9168803692
28,11203,1716271791.9598486423
28,11199,1716271792.0028431416
28,13538,1716271793.7228577137
28,12917,1716271793.7659075260
28,12710,1716271793.8089919090
28,12567,1716271793.8519601822
28,12488,1716271793.8949501514
28,12544,1716271793.9379396439
28,12363,1716271793.9809606075
28,12341,1716271794.0239641666
28,12309,1716271794.0669863224
28,12414,1716271794.1099884510
28,12331,1716271794.1530132294
28,12286,1716271794.1959557533
28,12299,1716271794.2389836311
28,12369,1716271794.2820706367
28,12209,1716271794.3249926567
28,12186,1716271794.3679385185
