TAX,ADC,TS
11,13277,1716279180.3809211254
11,12074,1716279180.4239273071
11,11950,1716279180.4670095444
11,10522,1716279180.5098843575
11,10460,1716279180.5529699326
11,10361,1716279180.5959475040
11,10174,1716279180.6389608383
11,9997,1716279180.6819152832
11,9665,1716279180.7248826027
11,9514,1716279180.7679247856
3 11,14405  9636,1716279180.8109762669
3 11,13990  9148,1716279180.8540315628
3 11,10318  9160,1716279180.8970084190
3 11,6691 9148,1716279180.9399855137
3 11,6277 9174,1716279180.9829695225
3 11 21,6262  9239 11813,1716279181.0259559155
3 11 21,5931  9045 10985,1716279181.0690009594
3 11 21,5779  8973 10782,1716279181.1120383739
3 11 21,5543  8921 10864,1716279181.1550354958
3 11 19 21,5469  9034 10119 10870,1716279181.1979942322
3 11 19 21,5375  8990 10015 10858,1716279181.2409944534
3 11 19 21 27 28,4905  9121 10267 10825 14715 12673,1716279181.2839093208
3 11 19 20 21 27 28,4691  8976 10110 15538 10687 12971 11938,1716279181.3270068169
2  3 10 11 19 20 21 27 28,15667  4535 15477  9012  9716 14594 10630 12727 11713,1716279181.3699433804
3  4 10 11 19 20 21 27 28 29,4511 11962 14374  9028  9241 14255 10642 12693 11739 14015,1716279181.4129066467
3  4 10 11 19 20 21 27 28 29,4277 10668 10904  8594  8400 13757 10735 12588 11563 12349,1716279181.4559664726
3  4 10 11 19 20 21 27 28 29,4197 10097  8792  8338  7755 13699 10585 12421 11385 11807,1716279181.4989771843
2  3  4 10 11 19 20 21 26 27 28 29,16331  4133  9820  8227  8392  7118 13694 10487 12015 12463 11710 11441,1716279181.5420329571
2  3  4 10 11 19 20 21 26 27 28 29,16224  3834  9512  7832  8291  5438 12878 10382 11002 12318 11304 11032,1716279181.5849361420
3  4 10 11 19 20 21 26 27 28 29,3779  9455  7754  8275  5315 12596 10220 11022 10593 11212 10962,1716279181.6279134750
2  3  4 10 11 19 20 21 26 27 28 29,13958  3581  9103  7155  7578  5095 12154 10205 11111  9185 11079 11265,1716279183.2189998627
2  3  4 10 11 19 20 21 27 28,14257  3795  9143  7617  8197  5585 12297 10138  9099 11158,1716279183.2619862556
2  3  4 10 11 19 20 21 27 28,13374  4017  9267  7501  8262  6561 12750 10333  9157 11455,1716279183.3050546646
2  3  4 10 11 19 20 21 27 28,13631  4255  9554  8352  8378  9735 13628 10498  9336 12017,1716279183.3479206562
2  3  4 10 11 19 20 21 27,13726  4241  9693  9472  9042  9676 13798 10409  9265,1716279183.3909807205
2  3 10 11 19 20 21 27,13761  4265 13019  9048 10216 15019 10614  9777,1716279183.4340188503
2  3 10 11 19 21,13819  4315 15360  8993 13180 10365,1716279183.4769933224
2  3 10 11 21,13781  4679 15467  8918 10581,1716279183.5199816227
2  3 11,13328  4719  8876,1716279183.5629549026
2  3 11,13621  5679  8969,1716279183.6059458256
2  3 11,14310  6020  9264,1716279183.6489603519
2  3 11,14393  6375  9439,1716279183.6919460297
2  3 11,14729  8887  9872,1716279183.7348892689
2 11,14747  9495,1716279183.7779619694
11,10011,1716279183.8209424019
11,10163,1716279183.8639218807
11,10068,1716279183.9069454670
11,10845,1716279183.9498531818
11,11457,1716279183.9929471016
