TAX,ADC,TS
42 50,13083 10861,1716439903.0150222778
42 50,13087 10837,1716439903.0578751564
42 50,12664 10302,1716439903.1009337902
42 50,12529 10149,1716439903.1439771652
42 50,12269 10099,1716439903.1869320869
42 50,12019  8067,1716439903.2299587727
42 44 50,12047 13509  7899,1716439903.2729563713
42 44 50,12026 13027  7693,1716439903.3159201145
42 44 50,9668 12804  7615,1716439903.3589129448
42 44 50,7379 12798  7600,1716439903.4019806385
27 42 44 45 50,12183  6945 12995 12844  7022,1716439903.4450333118
27 42 44 45 50,12109  6845 12975 12000  6621,1716439903.4879338741
27 42 44 45 50 53,12040  6161 12866 12094  6025 14685,1716439903.5310130119
27 42 44 45 50 53,11921  5330 12706  9261  5667 11459,1716439903.5740296841
27 42 44 45 50 53,11913  5125 10017  8964  5510 10691,1716439903.6169817448
27 42 44 45 50 53 61,11857  4680  9732  9163  5480 10344  8345,1716439903.6599886417
27 42 44 45 50 53 61,11801  4293  9151  8509  5314  9572  7699,1716439903.7029893398
27 42 44 45 50 53 61,11695  4178  7427  8326  5172  8697  7440,1716439903.7459397316
27 42 44 45 50 53 61,11559  3947  7182  7361  5104  8460  7329,1716439903.7890117168
27 28 42 44 45 50 53 60 61,11688 12705  3839  6454  7087  4536  8152 13321  7146,1716439903.8320317268
27 28 35 42 44 45 50 53 60 61,9634 11976 14568  3578  6292  6900  4378  6947  9219  7038,1716439903.8749957085
27 28 35 42 44 45 50 51 53 57 60 61,9348 11765 13974  3464  5910  6673  4296 12157  6687 10233  8037  6901,1716439903.9180073738
19 27 28 42 44 45 50 51 53 61,10218  8533 11350  3688  5425  6621  3756 12865  5902  6868,1716439906.1540331841
27 28 42 44 45 50 51 53 61,9346 11731  3964  6051  6874  3972 12939  5976  7132,1716439906.1969718933
27 28 42 44 45 50 53 61,9244 11842  4092  6628  7310  4216  6455  7502,1716439906.2400097847
27 28 42 44 45 50 53 61,11705 11988  4159  6929  8464  4471  6993  7926,1716439906.2830567360
27 42 44 45 50 53,11657  4424  8020  8549  4565  6906,1716439906.3260672092
27 42 44 45 50 53,11833  4640  8941 11318  4773  7137,1716439906.3691465855
27 42 44 45 50,12041  4507  9605 11393  4392,1716439906.4120604992
42 44 50,9801 9323 6643,1716439906.4549777508
42 44 50,12155  9218  7431,1716439906.4980859756
35 42 44 50,15720 13215  7133  7455,1716439906.5410995483
42 44 50,12811  7846  7498,1716439906.5839245319
42 44 50,12541  8450  7578,1716439906.6270315647
42 44 50,12594  8445  7583,1716439906.6701419353
42 44 50,13461  8764  7569,1716439906.7130670547
42 44 50,12899  8756 10253,1716439906.7560882568
42 44 50,12921  9143 10518,1716439906.7990064621
42 44 50,13577  9474 10689,1716439906.8421161175
42 44 50,14077  9827 10661,1716439906.8852417469
