TAX,ADC,TS
28,11590,1716178814.8648390770
28,11538,1716178814.9079501629
28,11613,1716178814.9508366585
28,11487,1716178814.9938716888
28,11538,1716178815.0368587971
28,11514,1716178815.0798983574
28,11455,1716178815.1228480339
28,11522,1716178815.1658439636
11 28,10124 11611,1716178815.2088329792
11 28,9725 11572,1716178815.2518618107
11 28,9342 11322,1716178815.2948300838
11 28,9236 11223,1716178815.3378143311
11 28 29 44,9144 11171 12723 14500,1716178815.3808507919
11 19 28 29 44,9388 13327 11184 12301 13365,1716178815.4239070415
11 19 20 28 29 44,9259 13617 13998 11095 11882 13180,1716178815.4671146870
11 19 20 28 29 44,9206 12885 13572 10986 11844 12883,1716178815.5101141930
11 19 20 28 29 44,9269 10937 12651 10943 11445 12681,1716178815.5531105995
11 19 20 28 29 44,9096 10440 11563 10988 11074 12598,1716178815.5960919857
11 19 20 28 29 37 44,9015  9968 11528 10909 10972 16349 12615,1716178815.6391000748
3 11 19 20 28 29 37 44,11323  9194 10023 11494 11191 10910 13362 12627,1716178815.6821210384
3 11 19 20 21 28 29 37 44,6650  9164  9298 11198 12576 10164 10947 12049 12461,1716178815.7251148224
3 11 19 20 21 27 28 29 37 44,6145  9159  7897 11081 11975 12722 10092 10916 12037 12323,1716178815.7680881023
3 11 19 20 21 27 28 29 37 44,5876  9096  7263 10827 11460 12522  9863 10801 11910 12401,1716178815.8110861778
3 11 19 20 21 27 28 29 37 44,5615  8954  6535 10551 11096 12358  9401 10617 11411 12307,1716178815.8540580273
3 11 19 20 21 27 28 29 37 44,5415  8929  6121 10473 10551 12249  8906 10431 11494  8972,1716178815.8970613480
3 11 19 20 21 27 28 29 37 44,5337  8925  5576 10285 10333 12274  8295 10279 10937  7924,1716178815.9400837421
3 11 19 20 21 27 28 29 37 42 44,4276  8701  4341  9660  9857 12014  6347  5458 10277 15031  5798,1716178817.5309259892
3 11 19 20 21 27 28 29 37 44,5103  8749  4599  9733  9890 12139  6994  6505 11087  6556,1716178817.5739974976
3 11 19 20 21 27 28 29 37 44,5191  8667  4747  9733 10023 12304  7301  6532 11217 11491,1716178817.6169350147
3 11 19 20 21 27 28 29 37 44,5347  8707  5027  9851 10201 12573  8126  9659 11298 11321,1716178817.6599631310
3 11 19 20 21 27 28 29 37 44,5437  8866  5364  9876 10327 12409  8837  9860 11337 11909,1716178817.7030124664
3 11 19 20 21 27 28 29 37 44,5839  8953  6215 10339 10502 12753  9535 10373 12079 11987,1716178817.7460188866
3 11 19 20 21 28 29 37 44,6001  8922  6793 10601 10655  9773 10331 12620 12179,1716178817.7889466286
3 11 19 20 21 28 29 37 44,9271  9019  8002 10943 10850 10847 10484 13375 12711,1716178817.8318610191
11 19 20 21 28 29 44,8807  9014 11222 10862 11098 10629 12957,1716178817.8750507832
11 19 20 28 29 44,8975  9653 11672 10841 10811 12757,1716178817.9179744720
11 19 20 28 29 44,8973  9891 12841 11171 11001 12876,1716178817.9609792233
11 19 20 28 29 44,9004  9982 14184 11302 11301 13307,1716178818.0040540695
11 19 28 29,9212 12134 11381 11825,1716178818.0468323231
11 28,9014 10806,1716178818.0899271965
11 28,9159 10974,1716178818.1329627037
11 28,10328 11317,1716178818.1758236885
28,11225,1716178818.2189505100
28,11310,1716178818.2619218826
28,11390,1716178818.3048453331
28,11530,1716178818.3479082584
28,11794,1716178818.3909196854
