TAX,ADC,TS
11,10576,1716183305.3439438343
11,9915,1716183305.3869054317
11 28,9834 12526,1716183305.4298813343
11 28,9339 11762,1716183305.4727947712
11 28,9219 11386,1716183305.5158970356
11 19 28,9135 13596 11336,1716183305.5588505268
11 19 28,9129 13079 11144,1716183305.6019086838
3 11 19 20 21 28 29,10028  9478 14013 15096 12493 11474 12548,1716183305.6448349953
3 11 19 20 21 27 28 29,9602  9230 13734 13558 11917 13648 11533 12195,1716183305.6879382133
3 11 19 20 21 27 28 29,9321  9275  9003 12993 11754 13145 11525 11879,1716183305.7309331894
3 11 19 20 21 27 28 29,7968  9092  7303 12367 11323 12945 11562 11439,1716183305.7739229202
3 11 19 20 21 26 27 28 29 44,5919  9150  6225 11729 10987 11221 12677 11272 11071 14641,1716183305.8168308735
3 11 19 20 21 26 27 28 29 44,5683  9021  5939 11464 10924 11198 11924 11582 10910 13758,1716183305.8599393368
3 11 19 20 21 26 27 28 29 34 44,5527  8985  5483 11279 10894 11144 11852 11489 11017 13194 12836,1716183305.9029250145
3 11 18 19 20 21 26 27 28 29 34 44,5334  9108 12180  4952 11002 10691 10754 11556 11375 10847  9977 12789,1716183305.9459078312
3 11 18 19 20 21 26 27 28 29 34 44,5342  9019 11776  4775 10826 10700  9319 11389 11150 10828  9777 12078,1716183305.9888570309
3 11 18 19 20 21 26 27 28 29 34 44,5279  9015 11091  4456 10605 10617  8993 11267 10978  9476  9713 10375,1716183306.0319871902
3 11 18 19 20 21 26 27 28 29 36,5210  8732 10670  4305 10254 10434  8907 11931 10467 10438 13682,1716183307.8809964657
3 11 18 19 20 21 26 27 28 29,5411  8777 11291  4620 10378 10452 10775 12003 10564 10600,1716183307.9240040779
3 11 19 20 21 27 28 29,5589  8758  5089 11002 10708 12085 10813 10960,1716183307.9668231010
3 11 19 20 21 27 28 29,5795  8918  5617 11315 10925 12237 11005 11501,1716183308.0099933147
3 11 19 20 21 27 28 29,7619  8914  5967 11470 11052 12348 11075 11603,1716183308.0528485775
3 11 19 20 21 28,8995  8973  8693 13000 11012 11225,1716183308.0959658623
3 11 19 20 21 28,9734  9068  9938 15215 11219 11610,1716183308.1389651299
11 19 21 27 28,9302 10196 11729 14622 11705,1716183308.1819450855
11 28,9083 11382,1716183308.2247626781
11,8911,1716183308.2679209709
11,9454,1716183308.3108494282
11,14339,1716183308.3539149761
