TAX,ADC,TS
28,12095,1716184234.6326382160
28,11458,1716184234.6757202148
28,11313,1716184234.7186770439
11 28,13523 11546,1716184234.7616882324
11 28,10214 11465,1716184234.8046953678
11 28,9759 11203,1716184234.8477146626
11 28,9582 11114,1716184234.8906795979
11 19 28,9747 10863 11062,1716184234.9336955547
11 19 28,9570 10150 10964,1716184234.9766609669
11 19 28 29,9399  9823 10874 12241,1716184235.0197665691
3 11 19 28 29,8602  9498  9861 10990 11988,1716184235.0627317429
3 11 19 20 28 29,8112  9335  9811 16088 10966 11665,1716184235.1057350636
3 11 19 20 27 28 29 44,7946  9377  9922 15338 13791 10983 11378 13644,1716184235.1487104893
3 11 19 20 27 28 29 44,7751  9201  9881 13970 12932 11038 11051 12995,1716184235.1917252541
3 11 19 20 27 28 29 44,5911  9179  8207 13958 12969 11013 10844 12681,1716184235.2347030640
3 11 19 20 27 28 29 44,5654  9152  8066 13382 12735 11038 10774 12509,1716184235.2777202129
3 11 19 20 27 28 29 44 45,5472  8999  7775 13293 12547 10909 10428 12543 12784,1716184235.3206794262
3 11 19 20 21 27 28 29 44 45,5424  9022  7643 13003 11210 12502 10813 10620 12571 12338,1716184235.3637204170
3 11 19 20 21 26 27 28 29 44 45,5222  8983  7010 12850 11049 13987 12451 10855 10627 12713  9507,1716184235.4067192078
3 11 19 20 21 26 27 28 29 35 44 45,3978  8467  4300 10375 10111  8652 12511 10170  9996 12576 11858  7144,1716184237.5996222496
3 11 19 20 21 26 27 28 29 35 44 45,4018  8521  4557 10479 10101 10605 12401 10207 10158 13171 12156 12463,1716184237.6426446438
3 11 19 20 21 27 28 29 35 44 45,4116  8527  5100 11099 10423 12496 10273 10335 13719 12202 12552,1716184237.6855905056
3 11 19 20 21 27 28 29 35 44,4180  8624  5415 11299 10531 12462 10389 10453 13767 12607,1716184237.7285926342
3 11 19 20 21 27 28 29 44,5074  8713  5972 11602 10741 12357 10343 10539 12933,1716184237.7715482712
3 11 19 20 21 27 28 29 44,5254  8859  7326 12109 11088 12463 10586 10765 13917,1716184237.8145496845
3 11 19 20 27 28 29 44,5435  8855  7801 12353 12436 10623 10924 14383,1716184237.8575394154
3 11 19 20 27 28 29 44,7265  8891  9434 13130 12525 10655 11250 16375,1716184237.9005572796
3 11 19 20 28 29,7692  9030  9547 13759 10673 11467,1716184237.9435303211
11 19 20 28,8907  9513 14034 10446,1716184237.9865033627
11 19 20 28,8978  9712 15588 10593,1716184238.0295088291
11 19 28,9121 10157 10977,1716184238.0724532604
11 28,8874 10911,1716184238.1155099869
11 28,9314 11058,1716184238.1584846973
11 28,11216 11153,1716184238.2014751434
28,11090,1716184238.2444791794
