TAX,ADC,TS
11,12414,1716449389.6465260983
11,12403,1716449389.6895325184
11,13181,1716449389.7323210239
11,12848,1716449389.7755978107
11,14449,1716449389.8185107708
11,14865,1716449389.8615303040
11,9927,1716449389.9042880535
3 11,12575  9902,1716449389.9475579262
3 11,11051  9439,1716449389.9905314445
3 11,9677 9334,1716449390.0335423946
3 11,9334 8368,1716449390.0763177872
3 11 19,6762  8553 10840,1716449390.1195397377
3 11 19,6367 8345 6308,1716449390.1625688076
3 11 19 26 27,6079  8356  6337 12394 13114,1716449390.2056481838
3 11 19 26 27,5826  8254  5989 12035 12938,1716449390.2484285831
3 10 11 19 26 27,5702 15032  8339  5740 11509 12897,1716449390.2915210724
3 10 11 19 26 27,5607 14100  8209  5386 11122 12643,1716449390.3345556259
3 10 11 19 26 27 34,4838 10416  8225  5034 11044 12692 12409,1716449390.3775434494
3 10 11 19 20 26 27 34,4663  8191  7725  4787 14419 11009 12730 12067,1716449390.4203667641
3 10 11 19 20 26 27 28 34,4550  7617  7423  4617 13663 10882 12407 11994 10423,1716449390.4635491371
3 10 11 19 20 26 27 28 34,4477  7068  7030  4449 13499 10921 12932  9718  7960,1716449390.5065593719
3 10 11 18 19 20 26 27 28 34,4139  6705  6048 11097  4265 13178 11045 12916  9284  7495,1716449390.5495972633
3 10 11 18 19 20 26 27 28 34 42,4087  6317  5466 10111  4105 13022 11020 12751  9014  7241 11170,1716449390.5923411846
3 10 11 18 19 20 26 27 28 34 36 42,3587  6268  5059  6856  4005 13027 10987 13084  9159  7314 15683  7827,1716449390.6355865002
3  4 10 11 18 19 20 26 27 28 34,3294 13508  5025  3704  5554  3598  9559  8437  8281  8671  5775,1716449392.0115671158
3  4 10 11 18 19 20 26 27 28 34,3600 13552  5485  4242  5590  3736 12168 10423  8499  8949  5978,1716449392.0545823574
3 10 11 18 19 20 26 27 34,3996  6001  5130  6846  3862 12677 10694  8667  7198,1716449392.0975997448
3 10 11 18 19 20 26 27 34,4243  6319  6535 10341  4081 15321 10903  8702  8351,1716449392.1404156685
3 10 11 18 19 26 27 34,4377  7372  6982 10890  4193 10982  8987 12336,1716449392.1835899353
3 10 11 19 26 27,4555  8169  7493  4251 10927  9252,1716449392.2266025543
3 10 11 19 26 27,5503  9946  7958  4517 11082  9797,1716449392.2695949078
3 10 11 19,5767 12752  7885  5267,1716449392.3123836517
3 11,6171 7748,1716449392.3555591106
3 11,9181 8031,1716449392.3985815048
3 11,10577  9275,1716449392.4415354729
11,10395,1716449392.4843580723
11,11588,1716449392.5274648666
11,11598,1716449392.5705554485
