TAX,ADC,TS
44,13201,1716262890.2699453831
28 44,12024 13268,1716262890.3128602505
28 44,11528 13306,1716262890.3559486866
28 42 44,11427 12999 13307,1716262890.3989603519
28 42 44,11455 12780 13291,1716262890.4419367313
19 28 42 44,10623 11714 12910 13116,1716262890.4849293232
19 27 28 42 44,10664 13266 11846 12809 12935,1716262890.5280354023
19 27 28 42 44,10385 13030 11654 12613 12894,1716262890.5709452629
11 19 27 28 42 44,13088 10572 12893 11767 12517 12928,1716262890.6139929295
11 19 27 28 42 44,10687 10498 12761 11565 12689 12703,1716262890.6570296288
11 19 20 26 27 28 42 44,10460 10505 15781 13179 12788 11560 12343 12535,1716262890.6998019218
11 19 20 26 27 28 29 42 44 45,10003 10143 15038 12143 12758 11690 12103 12096 12837 12556,1716262890.7428443432
11 19 20 26 27 28 29 42 44 45,9711  9898 15272 11711 12737 11419 11533 11253 12761 11837,1716262890.7859756947
11 19 20 26 27 28 29 42 44 45,9315  9405 13688 10953 12748 11066 11057 11094 12709 11697,1716262890.8290166855
11 19 20 26 27 28 29 42 44 45,9237  9058 12915  9135 12621 11042 11066 11019  9124 11360,1716262890.8719220161
11 19 20 26 27 28 29 42 44 45,9237  7998 12600  8866 12701 10899 10879 11117  8463 11083,1716262890.9150066376
11 19 20 26 27 28 29 42 44 45 53,9067  6766 12287  8699 12237 10818 10763 11142  6753 11110 15241,1716262890.9580175877
11 19 20 26 27 28 29 42 44 45 53,9134  6441 11973  8483 12105 10542 10753 11125  5777 11031 13739,1716262891.0009918213
11 19 20 21 26 27 28 29 42 44 45 53,9001  5495 11846 11237  8298 12202 10549 10638 10991  5153 10932  8987,1716262891.0440194607
11 19 20 21 26 27 28 29 42 44,8734  4756 11296 11295  8076  8641 10139 10960 11131  7854,1716262893.2797362804
11 19 20 26 27 28 29 42 44,8867  5208 11290  8201  9263 10143 10789 11318 11272,1716262893.3227534294
11 19 20 26 27 28 29 42 44,8991  5583 11997  8291 12047 10383 10997 11843 11631,1716262893.3657240868
11 19 20 26 27 28 29 42 44,9287  6210 12194  8517 11851 10474 11402 12739 12205,1716262893.4087443352
11 19 20 26 27 28 29 42 44,9613  7856 13299  8884 11902 10465 11630 13603 12428,1716262893.4517376423
11 19 26 27 28 44,9795  9807 12003 11961 10747 12338,1716262893.4946978092
11 19 27 28 44,9774  9508 12038 10801 12917,1716262893.5376605988
19 27 28 44,9509 12373 10930 13013,1716262893.5807189941
19 27 28 44,9789 12557 11090 13215,1716262893.6237010956
19 27 28 44,10306 12804 11724 14127,1716262893.6666650772
19 28,10446 12059,1716262893.7096848488
19 28 44,10772 12283 15117,1716262893.7527265549
44,14906,1716262893.7956740856
44,13695,1716262893.8386247158
