TAX,ADC,TS
11,12288,1716279255.0560624599
11,11696,1716279255.0990953445
11,10547,1716279255.1420226097
11,10546,1716279255.1851291656
11,9900,1716279255.2281193733
11,9896,1716279255.2711133957
11,9801,1716279255.3140962124
11,9373,1716279255.3571298122
11,9135,1716279255.4001071453
11,8767,1716279255.4430217743
11,8431,1716279255.4860758781
3 11,14059  8464,1716279255.5291380882
3 11 19,13776  8586 11782,1716279255.5722141266
3 11 19 28,6968  8579 10244 12673,1716279255.6151263714
3 11 19 28,6065  8437 10092 11847,1716279255.6581220627
3 11 19 28,5753  8220  9922 11286,1716279255.7011234760
2  3 11 19 21 28,15917  5542  8112  9914 11836 11287,1716279255.7446532249
2  3 11 19 21 28,16133  5455  8031  9684 11336 11247,1716279255.7878630161
2  3 11 19 21 28,16078  5248  7851  9591 11152 11311,1716279255.8311998844
3 11 19 21 27 28,5032  7451  7674 11019 11457 11463,1716279255.8741352558
3 11 19 21 27 28,5010  7256  7192 10826 11327 11298,1716279255.9171087742
3 10 11 19 21 27 28,4559 13796  7060  7024 10798  9281 11501,1716279255.9601199627
2  3 10 11 19 21 27 28 29,15836  4331 10297  6855  6152 10728  9015 11281 12253,1716279256.0031154156
2  3  4 10 11 19 21 27 28 29,15872  4333 12808 10006  6816  5629 10693  8919 11386 11938,1716279256.0460844040
2  3  4 10 11 19 21 26 27 28 29,15544  4267  9802  9264  7258  4979 10739 11414  8945 11352 11535,1716279256.0891089439
3  4 10 11 18 19 20 21 26 27 28 29,3022  9004  5464  4367  8953  4053 12307  9992 10146  8695 10372 10668,1716279257.7230582237
3  4 10 11 18 19 20 21 26 27 28 29,3135  8962  6574  4872 10664  4138 12904 10110 10236  8638 10502 10845,1716279257.7660794258
3  4 10 11 18 19 20 21 26 27 28 29,3383  9046  8043  5930 10858  4558 14189 10332 10687  8857 10662 11189,1716279257.8091673851
3  4 10 11 18 19 20 21 27 28 29,3680  9152  8414  6581 10986  4949 14830 10463  8865 10735 11551,1716279257.8521633148
3  4 10 11 19 21 27 28,3829  9257  9334  6541  5184 10503  8779 10682,1716279257.8951032162
3  4 10 11 19 21 27 28,3919  9321  9289  6566  5799 10551  8839 10741,1716279257.9380979538
3  4 10 11 19 21 27 28,3929 14130 10006  6681  6894 10639 11291 10891,1716279257.9810180664
3 10 11 19 21 27 28,4149 12227  7213  7897 11061 11449 11014,1716279258.0240952969
3 11 19 21 27 28,4864  7229  9682 11322 11708 11458,1716279258.0671057701
3 11 19,4929 7107 9203,1716279258.1100735664
3 11 19,5077 7260 9431,1716279258.1531307697
3 11 19,5248  7843 11482,1716279258.1960961819
3 11,5291 7643,1716279258.2390949726
3 11,5926 8396,1716279258.2820684910
2  3 11,15052 13793  8535,1716279258.3250393867
11,8815,1716279258.3680424690
11,9207,1716279258.4110727310
11,9769,1716279258.4540302753
11,10029,1716279258.4970858097
11,10230,1716279258.5400850773
11,11864,1716279258.5830256939
