TAX,ADC,TS
11 19 27 28,9432  9892 10391 11465,1716283794.7263379097
11 19 27 28,9505  9968 10703 11493,1716283794.7691638470
11 19 27 28,9384  9862 10617 11348,1716283794.8122220039
11 19 27 28,9320  9840 10431 11306,1716283794.8552751541
11 19 27 28,9295  8271 10081 11339,1716283794.8982567787
3 11 19 26 27 28,14294  9637  8369 11764 10372 11594,1716283794.9413866997
3 11 19 26 27 28,14052  9417  7306 11526 10035 11185,1716283794.9840743542
3 11 19 26 27 28,14371  9253  6886 11320 10215 11183,1716283795.0272805691
3 11 19 26 27 28 35 42,7941  9284  6393 11052  7868 11083 15601 15353,1716283795.0702533722
3 11 19 26 27 28 35 42 44,7601  9097  6296 11134  6875 10907 15211 13113 12988,1716283795.1132335663
3 11 19 26 27 28 35 42 44,7337  9138  6063 10957  6831 11070 15747 12390 13112,1716283795.1562891006
3 11 19 20 26 27 28 35 42 44,6483  8951  5405 15771 10756  6715 10923 15633 12146 10679,1716283795.1992807388
3 11 19 20 26 27 28 34 35 42 44,5977  8899  5039 15283 10652  6638 11017 13711 15520 11790 10474,1716283795.2423088551
3 10 11 19 20 21 26 27 28 34 35 44,5109 15304  8037  4420 12608 11120 10439  6410 10342 13484 15419 13060,1716283797.3490498066
3 11 19 20 21 26 27 28 34 35,5238  8861  4717 13102 11219 10525  6491 10624 14481 15411,1716283797.3919522762
3 11 19 20 26 27 28 35,5429  8939  5296 15924 10675  6510 10480 15419,1716283797.4350175858
3 11 19 26 27 28,6825  9087  6142 11084  6711 10651,1716283797.4780435562
3 11 19 27 28,13997  9067  6764  6774 10771,1716283797.5209443569
11 19 27 28,9007  9161  6898 10844,1716283797.5640141964
11 19 27 28,9523 10048 10469 12179,1716283797.6069891453
11 19 27,9429  9933 10242,1716283797.6499564648
11 19 27,9563 10122 10404,1716283797.6928775311
11 19 27,9999 10627 14308,1716283797.7502224445
