TAX,ADC,TS
50,10107,1716441632.7892992496
42 50,13023 10025,1716441632.8321690559
42 50,13753 10106,1716441632.8752791882
42,12449,1716441632.9183325768
42 45 50,9654 11705 10130,1716441632.9613244534
42 44 50 61,9503 13121 10321  7899,1716441633.0043172836
42 44 50 61,8671 12913 10245  7487,1716441633.0472767353
42 44 45 50 61,8383 12232 11983  9159  7485,1716441633.0902597904
42 44 45 50 53 61,8139  7496 11571  7915 14033  7013,1716441633.1333611012
42 44 45 50 51 53 61,9055  7442 11420  6580  8977 11050  6873,1716441633.1763720512
28 42 44 45 50 51 52 53 61,12325  7794  6311 11205  5242  9201 11617  7973  6498,1716441633.2193787098
28 42 44 45 50 51 52 53 54 61,11706  7589  5559 11225  5083  8100 10047  7473 13621  6536,1716441633.2622849941
28 42 44 45 50 51 52 53 54 61,11296  6763  5174 11146  4818  6724  9717  6567 12505  6438,1716441633.3054025173
28 36 42 44 45 50 51 52 53 54 60 61,11215 15663  6000  4837 11133  4078  7231  9001  6573 12743 11355  6519,1716441633.3482224941
27 28 35 42 44 45 50 51 52 53 60 61,9683 10268  7915  6401  4301  6428  3657  5834  7225  5197  6984  6423,1716441635.1541001797
28 35 42 44 45 50 51 52 53 60 61,10692  8424  7450  4679  6681  4230  7385  7626  5613 10148  6572,1716441635.1970663071
28 35 42 44 45 50 51 52 53 61,11362  9361  7665  5168  7847  4676  9345 13011  6548  7096,1716441635.2400586605
35 42 44 45 50 51 52 53 61,10749  8011  5451  8234  5247 13455 14671  7577  7501,1716441635.2830533981
35 42 44 45 50 53 61,13515 10690  5819  8770  6170  8755  7911,1716441635.3260259628
35 42 44 45 50 61,14541 10972  5940 10947  8144  7655,1716441635.3690536022
42 44 45 50,11797  8220 11493  9896,1716441635.4119567871
42 44 45 50,11935 10482 15504 10199,1716441635.4552776814
42 50,12557  9996,1716441635.4982252121
50,9840,1716441635.5412507057
50,10171,1716441635.5841171741
