TAX,ADC,TS
19 21 27,7809 11098 15357,1716191878.4893772602
19 21 27,7705 11207 12938,1716191878.5323021412
19 21,6783 10905,1716191878.5754218102
19 21,6547 10680,1716191878.6184394360
11 19 21,10091  6133 10927,1716191878.6614403725
11 19 21 27,9837  5987 10756 15549,1716191878.7043755054
11 19 21 27,9645  5740 10728 15732,1716191878.7474195957
11 19 21 27 28,9502  5670 10711 13497 12133,1716191878.7903869152
11 19 21 27 28,9497  5584 10421 13410 11847,1716191878.8333752155
3 11 19 21 27 28 29,9389  9794  5860 10726 13269 11885 13925,1716191878.8763017654
3 11 19 21 27 28 29 44,9175  9676  5624 10739 12725 11659 12399 14464,1716191878.9194645882
3 11 18 19 20 21 27 28 29 44,8113  9791 11547  5736 15358 10664 11094 11590 12378 13850,1716191878.9623639584
3 11 18 19 20 21 27 28 29 44,7950  9816 11358  5742 14639 10641 10509 11561 12225 13341,1716191879.0054876804
3 11 18 19 20 21 27 28 29 44,7314  9637 11096  5486 13805 10813 10229 11462 11917 12637,1716191879.0485281944
3 11 18 19 20 21 27 28 29 44,7250  9463 10694  5037 12414 10596  9922 11179 11459 12487,1716191879.0913500786
3 11 18 19 20 21 27 28 29 44,6873  9482  8568  4913 11998 10588  9743 11224 11248 12412,1716191879.1342754364
3 11 18 19 20 21 27 28 29 44,6777  9375  8143  4762 11618 10587  8429 10962 11090  8635,1716191879.1772730350
3 11 18 19 20 21 26 27 28 29 44,5807  9275  8098  4621 11137 10455 11038  7904 10857 10892  7556,1716191879.2202870846
3 11 18 19 20 21 26 27 28 29 44,5143  9224  7994  4539 10792 10366 10665  7370 10746 10747  6014,1716191879.2632942200
3 11 18 19 20 21 26 27 28 29 44,4339  9269  7803  4426 10518 10160 10488  7058 10655 10567  5203,1716191879.3062748909
3 11 18 19 20 21 26 27 28 29 44,3857  9023  6083  4159  9843 10193 10228  6943 10723 10470  4404,1716191879.3492791653
3 11 18 19 20 21 26 27 28 29 34 44,3674  8906  5916  4079  9571 10174 10231  6843 10722 10305 11731  4176,1716191879.3922629356
3 11 18 19 20 21 26 27 28 29 34 44,3459  8842  5773  3969  8443 10091 10217  6664 10686 10241 11541  3923,1716191879.4354557991
3 11 18 19 20 21 26 27 28 29 44,2877  8621  6159  3723  9449  8360 10363  6461 10104 10025  6255,1716191881.4563977718
3 11 18 19 20 21 26 27 28 29 44,3243  8757  7540  3893  9812  9991 10638  6742 10190 10307  8540,1716191881.4993453026
3 11 18 19 20 21 27 28 29 44,3723  8713  7669  3979 10150 10041  6723 10070 10335 12559,1716191881.5423295498
3 11 18 19 20 21 27 28 29 44,4524  8895  7973  4275 10970 10348  6938 10493 10859 12806,1716191881.5853383541
3 11 18 19 20 21 27 28 29 44,4691  8990  8258  4467 11155 10343  7070 10669 11050 13182,1716191881.6283402443
3 11 18 19 20 21 27 28 29 44,6827  9230 11095  4780 12439 10488  7522 11191 11325 13219,1716191881.6713280678
3 11 19 20 21 27 28 29,7167  9330  4858 13378 10650  8084 11661 11686,1716191881.7143380642
3 11 19 21 27 28 29,8863  9390  4759 10474  9135 11436 11727,1716191881.7573602200
3 11 19 21 27 28,9168  9513  4960 10417  9141 11532,1716191881.8003416061
11 19 21 27 28,9360  4942 10425  9148 11631,1716191881.8433337212
11 19 21 27,9502  5097 10581 10529,1716191881.8863208294
11 19 21 27,9982  5807 10801 10931,1716191881.9293522835
11 19 21 27,10350  5877 10831 12454,1716191881.9723510742
11 19 21 27,16215  6566 11056 11328,1716191882.0325613022
