TAX,ADC,TS
28,12156,1716194139.0612893105
28,11041,1716194139.1042664051
28,10859,1716194139.1472949982
28,10850,1716194139.1902704239
11 28,11686 11031,1716194139.2333018780
11 28,10299 10950,1716194139.2763335705
11 28,9959 10931,1716194139.3193120956
11 28,9674 10853,1716194139.3622848988
11 28 42,9588 10799 12412,1716194139.4053139687
11 28 42,9521 10749 11573,1716194139.4481983185
11 28 42 45,9307 10652 11227 13824,1716194139.4913005829
11 28 42 45,9270 10709 11169 11863,1716194139.5342843533
11 28 42 45,9204 10731 11187  7989,1716194139.5773358345
11 19 28 42 44 45,9461 14089 10875 11170 15559  8007,1716194139.6202442646
11 19 28 42 44 45,9348 12803 10917 10804 14340  7999,1716194139.6633512974
11 19 28 42 44 45,9131 11465 10842 10385 13241  8761,1716194139.7062973976
11 19 28 42 44 45,9019 11908 10832 10243 13265 11492,1716194139.7492830753
11 19 20 28 42 44 45 53,9090 10299 15398 11002 10471 12776  9864 13079,1716194139.7922573090
11 19 20 28 29 42 44 45 53,9057  9954 16062 11045 12292 10205 12494  9593 12991,1716194139.8352921009
11 19 20 28 29 42 44 45 53,8952  9805 15688 11125 11988 10186 12604  7922 12737,1716194139.8783173561
11 19 20 28 29 42 44 45 53,8953  9785 15636 11032 11775 10224 12479  7339 12682,1716194139.9213304520
11 19 20 27 28 29 42 44 45 53,9058  9949 14488 13075 11103 11674 10128 12520  7319 10950,1716194139.9643211365
11 19 20 21 26 27 28 29 42 44 45 53,9156 10063 15130 11513 12267 13124 11164 11529 10238 12547  7274 10736,1716194140.0072684288
11 19 20 21 27 28 29 35 42 44 45 53,8929  8803 13336 11179 12832 10562 11488 15325 10195 12581  7035 10792,1716194143.3183352947
11 19 20 21 27 28 42 44 45 53,9002  9808 13835 11718 12737 10639 10807 12499  6987 11119,1716194143.3612990379
11 19 20 27 28 42 44 45,8954  9782 13870 12594 10579 10883 12423  6755,1716194143.4042432308
11 19 20 27 28 42 44 45,9017  9801 14540 12667 10581 10550 12738  6785,1716194143.4473307133
11 19 20 27 28 42 44 45,9147  9997 15096 12744 10718 10737 13747  7019,1716194143.4903306961
11 19 20 27 28 42 45,9302 10189 15546 12759 10642 10923  7595,1716194143.5332951546
11 19 27 28 42 45,9483 10581 12945 10753 10747  6522,1716194143.5764138699
11 28 42 45,9082 10356 11617  6652,1716194143.6193337440
11 28 42 45,9310 10362 11918  7352,1716194143.6623399258
11 28 42 45,9272 10506 12529  8373,1716194143.7052991390
11 28 45,9501 10648  9992,1716194143.7483599186
11 28 45,10717 10729 12347,1716194143.7913146019
28,10664,1716194143.8343143463
28,10475,1716194143.8772845268
28,10353,1716194143.9201996326
28,10451,1716194143.9632871151
28,10555,1716194144.0063171387
28,10781,1716194144.0492777824
28,10813,1716194144.0922210217
