TAX,ADC,TS
19,11375,1716195153.3430476189
19,10785,1716195153.3860757351
19 44,10146 13449,1716195153.4290266037
19 28 44,10700 14878 13120,1716195153.4720687866
19 28 44,10512 12190 13238,1716195153.5150604248
11 19 28 44,10689 10813 12115 13137,1716195153.5581083298
11 19 21 28 44,10716 10772 12504 12138 13158,1716195153.6010241508
11 19 21 28 44,10518 10242 11779 11887 13109,1716195153.6441237926
11 19 21 28 44,10057  9772 11372 11687 12945,1716195153.6872069836
11 19 21 27 28 44,10018  9689 11246 13999 11819 12843,1716195153.7302010059
11 19 21 27 28 44,9927  9574 11086 13190 11860 12694,1716195153.7731151581
11 19 21 27 28 44,9610  9277 10957 12851 11496 12543,1716195153.8160841465
11 19 21 27 28 44 45,9481  8990 10798 12654 11631 12739 12417,1716195153.8591156006
11 19 21 27 28 44 45,9465  9006 10918 10491 11729 12559 12043,1716195153.9021737576
11 19 21 27 28 44 45,9360  8869 10651 10143 11469 12442 12120,1716195153.9450960159
3 11 19 21 27 28 44 45,14751  9241  7276 10453  9942 11042 12399 10189,1716195153.9881339073
3 11 19 21 27 28 44 45,9532  9277  7054 10502  9881 10983 12349  9253,1716195154.0311150551
3 11 19 21 27 28 44 45,7736  9247  6937 10500  9771 10858 12285  8144,1716195154.0741677284
3 11 19 20 21 27 28 44 45,7557  9203  7093 12905 10443  9744 10954 12083  7942,1716195154.1173002720
3 11 19 20 21 27 28 42 44 45,7499  9147  6518 12050 10155  8511 10955 13294 12090  6736,1716195154.1600787640
3 11 19 20 21 27 28 42 44 45,7369  9122  6455 11512 10021  8495 10974 11996 11995  6468,1716195154.2031641006
3 11 19 20 21 27 28 42 44 45,7273  9065  6102 11088 10023  8359 10692 12232 12129  6454,1716195154.2461392879
3 11 19 20 21 27 28 29 44 45,7036  8881  5010 11594  9763  6884 10375 13039 11855  6380,1716195156.8263013363
3 11 19 20 21 27 28 44 45,6995  8921  5261 11353  9736  6975 10368 11793  7679,1716195156.8693199158
3 11 19 20 21 27 28 44 45,7173  8963  5414 11368  9751  7069 10215 11771  8025,1716195156.9123508930
3 11 19 20 21 27 28 44 45,7565  9010  5603 16063  9865  7234 10262 11845  8106,1716195156.9552371502
3 11 19 21 27 28 44 45,8862  9042  5627 10007  7361 10380 11810  8690,1716195156.9982898235
11 19 21 27 28 44 45,8975  5733 10162  7816 10433 11934  8561,1716195157.0411937237
11 19 21 27 28 44,9061  6036 10423 10454 10810 12142,1716195157.0842769146
11 19 21 27 28 44,9131  6390 10545 10516 10904 12695,1716195157.1272721291
11 19 21 27 28 44,9298  8504 10631 10402 11139 12905,1716195157.1702730656
11 19 21 27 28 44,9419  8652 10748 10571 11388 12924,1716195157.2132818699
11 19 21 28 44,9613  9007 11079 11439 13052,1716195157.2563126087
11 19 21 28 44,9908  9620 11386 12006 13080,1716195157.2992606163
11 19 21 28 44,10361  9908 11855 12499 12989,1716195157.3422732353
19 28 44,9884 12246 13111,1716195157.3852376938
19 28,10533 12151,1716195157.4282939434
19 28,10460 12090,1716195157.4712443352
28,12063,1716195157.5142230988
28,11765,1716195157.5571954250
28,11493,1716195157.6002216339
28,11347,1716195157.6433286667
28,11340,1716195157.6862094402
